case	admission expectation	base-absolute	base-validate-micro	base-validate-process	base-validate-profile	calibrate	cand-absolute	cand-validate-micro	cand-validate-process	cand-validate-profile	paired
workloads-empty	reject admission	0	0	0	0	2	2	0	0	0	2
required-budget-workload-missing	reject admission	0	0	0	0	2	2	0	0	0	2
required-suite-workload-missing	reject admission	0	0	0	0	0	0	0	0	0	0
required-metric-missing	reject admission	0	0	0	0	2	2	0	0	0	2
profiles-empty-both	reject admission	2	0	0	0	2	2	0	0	0	2
profile-missing-both	reject admission	2	0	0	1	2	2	0	0	1	2
micro-empty	reject admission	0	0	0	0	2	2	1	0	0	2
required-unsupported-empty	reject admission	0	0	0	0	2	2	0	1	0	2
required-unsupported-with-samples	reject admission	0	0	0	0	0	0	0	0	0	0
required-resource-unsupported-with-samples	reject admission	0	0	0	0	0	0	0	0	0	0
optional-unsupported	unsupported, not passed	0	0	0	0	2	0	0	0	0	0
optional-unsupported-empty-reason	reject admission	0	0	0	0	2	0	0	0	0	0
optional-unsupported-null-reason	reject admission	2	0	0	0	2	2	0	0	0	2
optional-unsupported-with-samples	reject admission	2	0	0	0	2	2	0	0	0	2
optional-support-change	reject admission	0	0	0	0	2	0	0	0	0	2
optional-no-availability	reject admission	0	0	0	0	2	2	0	0	0	2
paired-regression-absolute-pass	paired failure, absolute pass	0	0	0	0	1	0	0	0	0	1
paired-pass-absolute-miss	paired pass, absolute failure; no debt waiver	1	0	0	0	1	1	0	0	0	0
diagnostic-tail-regression	diagnostic p99, absolute miss; repeated native stalls need supplemental policy review	0	0	0	0	0	1	0	0	0	0
within-candidate-target-fail	paired pass with comparative absolute failure	1	0	0	0	0	1	0	0	0	0
claimed-summary-disagrees	recomputed paired failure; raw summary ignored	0	0	0	0	1	0	0	0	0	1
irrelevant-invalid-samples	reject admission	0	0	0	0	0	0	0	0	0	0
missing-execution-and-host-calibration	reject admission	0	0	0	0	0	0	0	0	0	0
